univ_name;alias;address;sinta_id;pddikti_code;author_number;dept_number;journal_number;sinta_score_overall;sinta_score_3yr;sinta_score_productivity;sinta_score_productivity_3yr;scopus_docs;scopus_citation;scopus_cited_doc;scopus_citation_per_researchers;gscholar_docs;gscholar_citation;gscholar_cited_doc;gscholar_citation_per_researchers;wos_docs;wos_citation;wos_cited_doc;wos_citation_per_researchers;garuda_docs;garuda_citation;garuda_cited_doc;garuda_citation_per_researchers
Sekolah Tinggi Teologi Bethel The Way, Jakarta;-;KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID;4130;233099;8;5;0;167;115;5;3;0;0;0;0;107;553;46;14,95;0;0;0;0;3;0;0;0
STAI Sebelas April Sumedang;-;KAB. SUMEDANG - JAWA BARAT, ID;3707;213131;2;2;0;216;115;22;11;1;27;1;1,8;12;11;6;0,73;0;0;0;0;8;0;0;0
Sekolah Tinggi Agama Islam Ibnu Rusyd;STAI IBNU RUSYD;KAB. LAMPUNG UTARA - LAMPUNG, ID;4058;213571;1;4;0;116;115;5;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
STAI Al-Yasini Pasuruan;-;KAB. PASURUAN - JAWA TIMUR, ID;3634;213048;18;3;1;180;116;9;6;0;0;0;0;130;113;37;5,65;0;0;0;0;1;0;0;0
STIKES As Syifa;STIKES AS SYIFA;KAB. ASAHAN - SUMATERA UTARA, ID;8259;13198;15;4;0;140;115;4;3;0;0;0;0;78;53;14;1,26;0;0;0;0;0;0;0;0
STIT Misbahul Ulum Gumawang Belitang OKU Timur, Sumatera Selatan;-;KAB. OGAN KOMERING ULU TIMUR - SUMATERA SELATAN, ID;3880;213321;2;3;0;118;116;4;4;0;0;0;0;29;22;5;0,81;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Ciputra Makassar;UC MAKASSAR;KOTA MAKASSAR - SULAWESI SELATAN, ID;8244475;93211;9;1;0;315;115;24;9;0;0;0;0;75;86;29;6,14;0;0;0;0;12;0;0;0
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;STIKES DUTA GAMA KLA;- - ACEH, ID;372;63070;0;5;0;116;116;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Informatika Komputer Artha Buana;-;KOTA KUPANG - NUSA TENGGARA TIMUR, ID;2451;153014;7;2;0;135;116;13;12;0;0;0;0;47;74;16;7,4;0;0;0;0;3;0;0;0
Sekolah Tinggi Ilmu Ekonomi Sulawesi Utara;-;KOTA MANADO - SULAWESI UTARA, ID;2611;163008;2;4;0;118;116;8;8;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
Politeknik Enjiniring Pertanian Indonesia;PEPI;KAB. SERANG - BANTEN, ID;8244486;445007;11;3;0;292;116;11;4;4;15;3;0,58;141;459;57;17,65;0;0;0;0;0;0;0;0
STAI Al-Washliyah Banda Aceh;-;KOTA BANDA ACEH - ACEH, ID;3843;213278;5;3;0;161;116;7;5;0;0;0;0;35;66;13;2,87;0;0;0;0;6;0;0;0
Universitas Audi Indonesia;UNIVERSITAS AUDI INDONESIA;KOTA MEDAN - SUMATERA UTARA, ID;8244317;11053;22;16;0;132;117;3;3;0;0;0;0;40;86;8;1,76;0;0;0;0;0;0;0;0
STIT Al-Amin Indramayu;-;KAB. INDRAMAYU - JAWA BARAT, ID;3711;213135;2;4;0;108;106;4;4;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Bukit Zaitun Sorong;-;KOTA SORONG - PAPUA BARAT, ID;3481;143017;4;5;0;119;117;5;5;0;0;0;0;4;21;2;0,47;0;0;0;0;0;0;0;0
Sekolah Tinggi Agama Islam Al-Falah Banjarbaru;STAI AL-FALAH BANJARBARU;KOTA BANJARBARU - KALIMANTAN SELATAN, ID;3932;213399;2;3;1;116;107;6;5;0;0;0;0;19;7;3;0,33;0;0;0;0;0;0;0;0
STAI Ma`arif Kendal Ngawi;-;KAB. NGAWI - JAWA TIMUR, ID;3962;213434;6;4;0;134;117;10;9;0;0;0;0;53;64;14;4,57;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Pandu Madania;-;KAB. BOGOR - JAWA BARAT, ID;1546;43149;3;3;0;490;107;33;7;0;0;0;0;32;154;11;9,06;0;0;0;0;0;0;0;0
STIE Pengembangan Bisnis Dan Manajemen;STIE PBM;KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID;1185;33115;4;3;0;182;106;6;4;0;0;0;0;42;431;32;11,34;0;0;0;0;1;0;0;0
Akademi Pariwisata Kupang;-;KOTA KUPANG - NUSA TENGGARA TIMUR, ID;2498;154004;1;4;0;119;107;15;13;0;0;0;0;31;22;9;1,57;0;0;0;0;0;0;0;0
STAI Brebes, Jawa Tengah;-;KAB. BREBES - JAWA TENGAH, ID;3930;213385;0;3;0;107;107;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAI Rokan;-;KAB. ROKAN HILIR - KEPULAUAN RIAU, ID;4018;213503;1;4;0;136;113;5;4;0;0;0;0;34;156;19;4,73;0;0;0;0;0;0;0;0
Sekolah Tinggi llmu Ekonomi Muhammadiyah Asahan;STIEMAKISARAN;KAB. ASAHAN - SUMATERA UTARA, ID;8244455;13043;22;2;0;146;107;7;5;0;0;0;0;150;946;47;39,42;0;0;0;0;0;0;0;0
STIKES Muhammadiyah Lhokseumawe;STIKESMU LSM;KOTA LHOKSEUMAWE - ACEH, ID;3391;133031;25;5;0;205;107;6;3;0;0;0;0;122;149;33;3,55;0;0;0;0;0;0;0;0
Politeknik Tanah Laut;-;- - -, ID;3303;115012;1;0;0;200;114;0;0;5;4;3;0;27;34;17;0;0;0;0;0;0;0;0;0
Politeknik Mercusuar Indonesia;POLIMERCIA;KOTA KEDIRI - JAWA TIMUR, ID;2320;75019;9;3;0;186;113;19;11;0;0;0;0;39;77;12;6,42;0;0;0;0;0;0;0;0
Akademi Kebidanan Graha Ananda;AKBID GRAHA ANANDA;KOTA PALU - SULAWESI TENGAH, ID;2858;164020;16;2;0;128;114;6;5;0;0;0;0;49;158;7;6,87;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi Cipasung;-;KAB. TASIKMALAYA - JAWA BARAT, ID;1533;43130;5;0;0;483;107;0;0;0;0;0;0;137;2145;76;0;0;0;0;0;0;0;0;0
STMIK Pranata Indonesia;STMIK PI;KOTA BEKASI - JAWA BARAT, ID;1519;43109;6;4;0;118;114;4;4;0;0;0;0;14;11;4;0,32;0;0;0;0;0;0;0;0
STAI Babussalam Sula Maluku Utara;-;KAB. KEPULAUAN SULA - MALUKU UTARA, ID;3667;213084;0;4;0;114;114;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STIKES Bustanul Ulum Langsa;STIKES BUSTANUL ULUM;KOTA LANGSA - ACEH, ID;3404;133046;27;3;0;377;114;13;4;1;1;1;0,03;87;105;20;3,18;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Ekonomi LMII;-;KAB. DELI SERDANG - SUMATERA UTARA, ID;651;13077;13;2;0;180;114;9;5;0;0;0;0;197;585;37;25,43;0;0;0;0;0;0;0;0
STAI Tulang Bawang, Lampung;-;KAB. TULANG BAWANG BARAT - LAMPUNG, ID;3661;213078;0;3;0;112;112;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STIKES Piala Sakti Pariaman;-;KOTA PARIAMAN - SUMATERA BARAT, ID;2990;103085;11;3;0;490;113;25;6;0;0;0;0;69;197;30;6,57;0;0;0;0;0;0;0;0
Sekolah Tinggi Manajemen dan Ilmu Komputer Umel Mandiri;STMIK-UM;KOTA JAYAPURA - P A P U A, ID;3502;143040;11;2;0;266;115;24;10;1;0;0;0;62;117;27;10,64;0;0;0;0;9;0;0;0
Sekolah Tinggi Islam Kendal (STIK);-;KAB. KENDAL - JAWA TENGAH, ID;3928;213380;2;3;0;118;113;5;5;1;0;0;0;19;12;3;0,44;0;0;0;0;0;0;0;0
STMIK Widya Utama;SWU;KAB. BANYUMAS - JAWA TENGAH, ID;138;63020;12;4;0;485;113;23;5;2;8;2;0,21;134;188;44;4,82;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi Rahmat Emmanuel Jakarta;STT RAHMAT EMMANUEL JAKARTA;KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID;4140;233113;10;5;0;113;112;3;3;0;0;0;0;3;2;2;0,05;0;0;0;0;0;0;0;0
Sekolah Tinggi Manajemen Informatika dan Komputer Horizon Karawang;STMIK HORIZON;KAB. KARAWANG - JAWA BARAT, ID;8244548;43378;14;4;0;347;113;12;4;1;2;1;0,03;79;337;43;5,81;0;0;0;0;14;0;0;0
